t[s],q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3
0.8125,0,0.055409023551823,0.264819632460096,0,0.055409023551823,0.264819632460096,0,0.354958829050611,-0.621784504591935,0,0.354958829050611,-0.621784504591935,0,-5.64954361078613,16.4909838114887,0,-5.64954361078613,16.4909838114887,0,5.13903261433963,-17.2176287751454,0,5.13903261433963,-17.2176287751454,0,4.04382470988465,-1.98486688263281,0,4.04382470988465,-1.98486688263281,0,3.72003145291778,1.05563554037882,0,3.72003145291778,1.05563554037882
0.815,0,0.041188238207822,0.306539257123673,0,0.041188238207822,0.306539257123673,0,0.369869252202614,-0.664446822808654,0,0.369869252202614,-0.664446822808654,0,-5.58990732118977,16.6895124466431,0,-5.58990732118977,16.6895124466431,0,5.42246068898705,-17.2718882740778,0,5.42246068898705,-17.2718882740778,0,5.19492888107505,-2.78303664542853,0,5.19492888107505,-2.78303664542853,0,4.5262310036087,1.30262872057363,0,4.5262310036087,1.30262872057363
0.8175,0,0.025730599771892,0.347994219477709,0,0.025730599771892,0.347994219477709,0,0.386378923362399,-0.706605390146638,0,0.386378923362399,-0.706605390146638,0,-5.7262309709021,16.7804103472938,0,-5.7262309709021,16.7804103472938,0,5.83524618516119,-17.2349355154783,0,5.83524618516119,-17.2349355154783,0,5.58461701663109,-3.21370285062109,0,5.58461701663109,-3.21370285062109,0,4.45443750386739,1.28207650757742,0,4.45443750386739,1.28207650757742
0.82,0,0.009331566311188,0.389498792484083,0,0.009331566311188,0.389498792484083,0,0.404072243172006,-0.748505624163345,0,0.404072243172006,-0.748505624163345,0,-6.01201101978003,16.8048523585079,0,-6.01201101978003,16.8048523585079,0,6.32214731374553,-17.1401366466477,0,6.32214731374553,-17.1401366466477,0,5.12784168903928,-3.22375843655543,0,5.12784168903928,-3.22375843655543,0,3.49519947133317,0.993871709095089,0,3.49519947133317,0.993871709095089
0.8225,0,-0.006775475295905,0.432040843871876,0,-0.006775475295905,0.432040843871876,0,0.421691399766131,-0.790939684804725,0,0.421691399766131,-0.790939684804725,0,-6.26747328591598,16.8923176661727,0,-6.26747328591598,16.8923176661727,0,6.72109397124398,-17.0925845395107,0,6.72109397124398,-17.0925845395107,0,4.09605432613428,-2.9461522247484,0,4.09605432613428,-2.9461522247484,0,2.09151334556072,0.579228561237348,0,2.09151334556072,0.579228561237348
0.825,0,-0.021310248533388,0.47664191622285,0,-0.021310248533388,0.47664191622285,0,0.437936476762807,-0.834727065170555,0,0.437936476762807,-0.834727065170555,0,-6.30618102194721,17.1767000327311,0,-6.30618102194721,17.1767000327311,0,6.8646754132842,-17.2009578819779,0,6.8646754132842,-17.2009578819779,0,2.77852871277554,-2.52313448138269,0,2.77852871277554,-2.52313448138269,0,0.708994680524069,0.186426346508481,0,0.708994680524069,0.186426346508481
0.8275,0,-0.03301151353827,0.524294948521655,0,-0.03301151353827,0.524294948521655,0,0.451530488315065,-0.880674298001609,0,0.451530488315065,-0.880674298001609,0,-5.94539366960591,17.7877604514478,0,-5.94539366960591,17.7877604514478,0,6.58937770787063,-17.5715962820899,0,6.58937770787063,-17.5715962820899,0,1.46068433484137,-2.09639482017958,0,1.46068433484137,-2.09639482017958,0,-0.193865406974344,-0.038946323786669,0,-0.193865406974344,-0.038946323786669
0.83,0,-0.041414566862082,0.574796040861889,0,-0.041414566862082,0.574796040861889,0,0.462155913778304,-0.929045625443941,0,0.462155913778304,-0.929045625443941,0,-5.15702754268934,18.6823355500731,0,-5.15702754268934,18.6823355500731,0,5.89473832480106,-18.2129669807237,0,5.89473832480106,-18.2129669807237,0,0.266668132585544,-1.78416389381196,0,0.266668132585544,-1.78416389381196,0,-0.456678288914171,-0.063884578185068,0,-0.456678288914171,-0.063884578185068
0.8325,0,-0.047123352649046,0.626335592735828,0,-0.047123352649046,0.626335592735828,0,0.470782468295367,-0.979377742819581,0,0.470782468295367,-0.979377742819581,0,-4.12048939863544,19.5852635146598,0,-4.12048939863544,19.5852635146598,0,4.99904742971278,-19.0022298891054,0,4.99904742971278,-19.0022298891054,0,-0.895739104118655,-1.67319939051038,0,-0.895739104118655,-1.67319939051038,0,-0.318995002559857,-0.006427917287834,0,-0.318995002559857,-0.006427917287834
0.835,0,-0.050816751569298,0.67699140746696,0,-0.050816751569298,0.67699140746696,0,0.478470131544021,-1.0311563278543,0,0.478470131544021,-1.0311563278543,0,-3.02973579887151,20.2051141586392,0,-3.02973579887151,20.2051141586392,0,4.13593473251683,-19.8073372852073,0,4.13593473251683,-19.8073372852073,0,-2.13392877850133,-1.84805202715978,0,-2.13392877850133,-1.84805202715978,0,-0.04841146105259,0.004792509027521,0,-0.04841146105259,0.004792509027521
0.8375,0,-0.0531740267231,0.72485668580882,0,-0.0531740267231,0.72485668580882,0,0.486274064107755,-1.08386871579706,0,0.486274064107755,-1.08386871579706,0,-2.07783382589899,20.253375018606,0,-2.07783382589899,20.253375018606,0,3.53743582917149,-20.4970368845509,0,3.53743582917149,-20.4970368845509,0,-3.55439485395239,-2.39229442515673,0,-3.55439485395239,-2.39229442515673,0,0.089910744103171,-0.156939286487117,0,0.089910744103171,-0.156939286487117
0.84,0,-0.054902615716196,0.769158992543441,0,-0.054902615716196,0.769158992543441,0,0.494894392828793,-1.13712435543622,0,0.494894392828793,-1.13712435543622,0,-1.39232060724539,19.6564889965516,0,-1.39232060724539,19.6564889965516,0,3.31814428017834,-20.9986781134824,0,3.31814428017834,-20.9986781134824,0,-5.19751484004656,-3.31744066527152,0,-5.19751484004656,-3.31744066527152,0,0.010152086302488,-0.477244862390812,0,0.010152086302488,-0.477244862390812
0.8425,0,-0.056756932284507,0.811017248888819,0,-0.056756932284507,0.811017248888819,0,0.504439286999006,-1.19073629883286,0,0.504439286999006,-1.19073629883286,0,-0.991473368877831,18.6993000046985,0,-0.991473368877831,18.6993000046985,0,3.39683930070435,-21.3373186473244,0,3.39683930070435,-21.3373186473244,0,-6.99342845910254,-4.51485963576662,0,-6.99342845910254,-4.51485963576662,0,-0.074484989133973,-0.70649514422503,0,-0.074484989133973,-0.70649514422503
0.845,0,-0.05949584380355,0.8517296888305,0,-0.05949584380355,0.8517296888305,0,0.514960794523193,-1.24453690094922,0,0.514960794523193,-1.24453690094922,0,-0.883210794629776,17.7006306785909,0,-0.883210794629776,17.7006306785909,0,3.67373564523538,-21.5472795324931,0,3.67373564523538,-21.5472795324931,0,-8.86182418144497,-5.86452968710419,0,-8.86182418144497,-5.86452968710419,0,0.077551171294872,-0.572757782868661,0,0.077551171294872,-0.572757782868661
0.8475,0,-0.063876232685881,0.89259168697423,0,-0.063876232685881,0.89259168697423,0,0.52651147576495,-1.29835973440666,0,0.52651147576495,-1.29835973440666,0,-1.07524012590977,16.9784194184435,0,-1.07524012590977,16.9784194184435,0,4.04928695196931,-21.6629376495315,0,4.04928695196931,-21.6629376495315,0,-10.7216957966879,-7.24624320371109,0,-10.7216957966879,-7.24624320371109,0,0.706723906287913,0.194651224771914,0,0.706723906287913,0.194651224771914
